year,zimbabwe_exports_to_uae_usd_hs710813,zimbabwe_exports_kg,uae_imports_from_zimbabwe_usd_hs710812,uae_imports_kg,oec_mirror_estimate_usd,source_notes
2020,739182240,,1194586320,22978,1610000000,WITS HS710813 (Zim Export) vs WITS HS710812 (UAE Import Row 10) vs OEC 2020 Profile
2021,1604058780,22416,1898899690,34341,3500000000,WITS HS710813 (Zim Export) vs WITS HS710812 (UAE Import Row 9) vs OEC 2021 Profile
2022,1981811100,35531,2483061060,43789,4460000000,WITS HS710813 (Zim Export) vs WITS HS710812 (UAE Import Row 6) vs OEC 2022 Profile
2023,1792919200,28944,1864504620,30441,3660000000,WITS HS710813 (Zim Export) vs WITS HS710812 (UAE Import Row 10) vs OEC 2023 Profile
2024,2462869330,32878,,,2460000000,WITS HS710813 (Zim Export). UAE Imports not yet reported in WITS. OEC 2024 Profile.
