year_month,province,monthly_rainfall_mm
2022-07,Manicaland,9.291989755
2022-08,Manicaland,6.25660826
2022-09,Manicaland,8.603698409
2022-10,Manicaland,34.30039191
2022-11,Manicaland,212.4838241
2022-12,Manicaland,148.5192045
2023-01,Manicaland,114.2584758
2023-02,Manicaland,254.1583227
2023-03,Manicaland,78.09386309
2023-04,Manicaland,24.05276509
2023-05,Manicaland,6.640462427
2023-06,Manicaland,6.352710164
2023-07,Manicaland,8.444237482
2023-08,Manicaland,7.957296473
2023-09,Manicaland,10.4887908
2023-10,Manicaland,53.56487936
2023-11,Manicaland,58.24701382
2023-12,Manicaland,229.9442782
2024-01,Manicaland,106.4371878
2024-02,Manicaland,60.14388509
2024-03,Manicaland,34.36746055
2024-04,Manicaland,25.31746927
2024-05,Manicaland,8.137502927
2024-06,Manicaland,20.37150191
2024-07,Manicaland,5.6897749
2024-08,Manicaland,14.96974715
2024-09,Manicaland,7.586488064
2024-10,Manicaland,31.34970727
2024-11,Manicaland,138.7215291
2024-12,Manicaland,126.5023167
2025-01,Manicaland,285.3271573
2025-02,Manicaland,229.9115764
2025-03,Manicaland,86.96214955
2025-04,Manicaland,71.12663009
2025-05,Manicaland,10.69417711
2025-06,Manicaland,6.500031882
2025-07,Manicaland,7.590079527
2025-08,Manicaland,4.235033936
2025-09,Manicaland,9.811091436
2025-10,Manicaland,14.03394441
2025-11,Manicaland,166.8011059
2025-12,Manicaland,260.4579355
2020-01,Mashonaland Central,230.584055
2020-02,Mashonaland Central,186.416571
2020-03,Mashonaland Central,26.8143054
2020-04,Mashonaland Central,13.09141975
2020-05,Mashonaland Central,2.92291868
2020-06,Mashonaland Central,2.113212716
2020-07,Mashonaland Central,0.67610773
2020-08,Mashonaland Central,0.840628708
2020-09,Mashonaland Central,2.141891087
2020-10,Mashonaland Central,6.68633725
2020-11,Mashonaland Central,58.9282841
2020-12,Mashonaland Central,215.477176
2021-01,Mashonaland Central,237.374328
2021-02,Mashonaland Central,154.921611
2021-03,Mashonaland Central,66.8791556
2021-04,Mashonaland Central,6.64256617
2021-05,Mashonaland Central,6.04021655
2021-06,Mashonaland Central,1.615690285
2021-07,Mashonaland Central,0.579853425
2021-08,Mashonaland Central,0.84439127
2021-09,Mashonaland Central,1.76268289
